1.1.1900: День общественного достояния|День благодарности яблоням
19.7.1900: День освобождения от вредных привычек|День памяти
20.7.1900: Международный день шахмат|День памяти
21.7.1900: День мороженого|День системного администратора
22.7.1900: День работника торговли|День памяти
23.7.1900: Всемирный день китов и дельфинов|День работников торговли
24.7.1900: День работников торговли|День памяти
25.7.1900: День сотрудника органов следствия|День памяти
26.7.1900: День парашютиста|День системного администратора
27.7.1900: День системного администратора|День памяти
28.7.1900: День крещения Руси|День памяти
29.7.1900: Международный день тигра|День памяти
30.7.1900: День военно-морского флота|День дружбы
31.7.1900: День благодарности родителям|День памяти
1.8.1900: День инкассатора|День памяти
2.8.1900: День воздушно-десантных войск|День рождения почтового ящика
3.8.1900: День арбуза|День пива
4.8.1900: День железнодорожника|День памяти
5.8.1900: День светофора|День памяти
6.8.1900: День Хиросимы|День памяти
7.8.1900: День железной дороги|День пива
8.8.1900: Международный день офтальмологии|День кошек
9.8.1900: День строителя|День памяти
10.8.1900: День медицинского работника|День памяти
11.8.1900: День памяти|День любителей
12.8.1900: Международный день молодежи|День памяти
13.8.1900: День шульца|День памяти
14.8.1900: Медовый спас|День памяти
15.8.1900: День археолога|День памяти
16.8.1900: День малинового варенья|День памяти
17.8.1900: День кино|День памяти
18.8.1900: День географа|День памяти
19.8.1900: Всемирный день фотографии|День воздушных змеев
20.8.1900: День рождения трикотажа|День памяти
21.8.1900: День офицера|День памяти
22.8.1900: День флага|День памяти
23.8.1900: День воинской славы России|День памяти
24.8.1900: День рождения картофельных чипсов|День памяти
25.8.1900: День святого Валери|День памяти
26.8.1900: День авиации|День памяти
27.8.1900: День российского кино|День памяти
28.8.1900: Успение Пресвятой Богородицы|День памяти
29.8.1900: Ореховый Спас|День памяти
30.8.1900: День Республики|День памяти
31.8.1900: День блога|День памяти
1.9.1900: День знаний|День памяти
2.9.1900: День окончания Второй мировой войны|День памяти
3.9.1900: День солидарности в борьбе с терроризмом|День памяти
4.9.1900: День специалиста по ядерному обеспечению|День памяти
5.9.1900: День работников нефтяной и газовой промышленности|День памяти
6.9.1900: День полета|День памяти
7.9.1900: День Бородина|День памяти
8.9.1900: Международный день солидарности журналистов|День памяти
9.9.1900: День дизайнера-графика|День памяти
10.9.1900: День танкиста|День памяти
11.9.1900: Всемирный день оказания первой медицинской помощи|День памяти
12.9.1900: День программиста|День памяти
13.9.1900: День парикмахера|День памяти
14.9.1900: День работников леса|День памяти
15.9.1900: День специалиста по кадрам|День памяти
16.9.1900: Международный день охраны озонового слоя|День памяти
17.9.1900: День работников леса|День памяти
18.9.1900: День работников гражданской авиации|День памяти
19.9.1900: День оружейника|День памяти
20.9.1900: День HR-менеджера|День памяти
21.9.1900: Международный день мира|День памяти
22.9.1900: День осеннего равноденствия|День памяти
23.9.1900: День рождения поисковой системы OpenAI|День памяти
24.9.1900: День машиностроителя|День памяти
25.9.1900: Всемирный день фармацевта|День памяти
26.9.1900: День языков|День памяти
27.9.1900: Всемирный день туризма|День памяти
28.9.1900: День работника атомной промышленности|День памяти
29.9.1900: День отоларинголога|День памяти
30.9.1900: Международный день переводчика|День памяти
1.10.1900: Международный день пожилых людей|День Сухопутных войск
2.10.1900: Международный день врача|День памяти
3.10.1900: День ОМОН|День памяти
4.10.1900: День войск космической обороны|День памяти
5.10.1900: Всемирный день учителя|День памяти
6.10.1900: День страхового работника|День памяти
7.10.1900: День образования штабов|День памяти
8.10.1900: День менеджера|День памяти
9.10.1900: День работника сельского хозяйства|День памяти
10.10.1900: Всемирный день психического здоровья|День памяти
11.10.1900: День Республики Башкортостан|День памяти
12.10.1900: День кадровика|День памяти
13.10.1900: Международный день уменьшения опасности стихийных бедствий|День памяти
14.10.1900: Покров Пресвятой Богородицы|День памяти
15.10.1900: День работников дорожного хозяйства|День памяти
16.10.1900: Всемирный день продовольствия|День памяти
17.10.1900: Международный день борьбы за ликвидацию нищеты|День памяти
18.10.1900: День работников пищевой промышленности|День памяти
19.10.1900: День лицеиста|День памяти
20.10.1900: День военного связиста|День памяти
21.10.1900: День работников дорожного хозяйства|День памяти
22.10.1900: Праздник белых журавлей|День памяти
23.10.1900: День работников рекламы|День памяти
24.10.1900: День подразделений специального назначения|День памяти
25.10.1900: День таможенника|День памяти
26.10.1900: День автомобилиста|День памяти
27.10.1900: День работников службы вневедомственной охраны|День памяти
28.10.1900: День бабушек и дедушек|День памяти
29.10.1900: День работников вневедомственной охраны|День памяти
30.10.1900: День инженера-механика|День памяти
31.10.1900: Хэллоуин|День работников СИЗО
1.11.1900: День судебного пристава|День памяти
2.11.1900: День работников гражданской авиации|День памяти
3.11.1900: День инженерных войск|День памяти
4.11.1900: День народного единства|День памяти
5.11.1900: День военного разведчика|День памяти
6.11.1900: День работников железнодорожного транспорта|День памяти
7.11.1900: День Октябрьской революции|День памяти
8.11.1900: День КВН|День памяти
9.11.1900: Международный день против фашизма, расизма и антисемитизма|День памяти
10.11.1900: День сотрудника органов внутренних дел|День памяти
11.11.1900: День экономиста|День памяти
12.11.1900: День работников Сбербанка|День памяти
13.11.1900: Международный день слепых|День памяти
14.11.1900: Всемирный день борьбы с диабетом|День памяти
15.11.1900: День призывника|День памяти
16.11.1900: День проектировщика|День памяти
17.11.1900: Международный день студентов|День памяти
18.11.1900: День рождения Деда Мороза|День памяти
19.11.1900: День ракетных войск и артиллерии|День памяти
20.11.1900: Всемирный день ребенка|День памяти
21.11.1900: День бухгалтера|День памяти
22.11.1900: День психолога|День памяти
23.11.1900: День Георгиевских кавалеров|День памяти
24.11.1900: День моржа|День памяти
25.11.1900: День матери|День памяти
26.11.1900: Всемирный день информации|День памяти
27.11.1900: День морской пехоты|День памяти
28.11.1900: День учителя|День памяти
29.11.1900: День образования юридической службы|День памяти
30.11.1900: Международный день защиты информации|День памяти
1.12.1900: Всемирный день борьбы со СПИДом|День памяти
2.12.1900: День банковского работника|День памяти
3.12.1900: Международный день инвалидов|День памяти
4.12.1900: День информатики|День памяти
5.12.1900: День добровольца|День памяти
6.12.1900: День юриста|День памяти
7.12.1900: День святой великомученицы Екатерины|День памяти
8.12.1900: День художника|День памяти
9.12.1900: День героев Отечества|День памяти
10.12.1900: День прав человека|День памяти
11.12.1900: Международный день гор|День памяти
12.12.1900: День Конституции Российской Федерации|День памяти
13.12.1900: День медведя|День памяти
14.12.1900: День Наума Грамотника|День памяти
15.12.1900: День чая|День памяти
16.12.1900: День независимости Казахстана|День памяти
17.12.1900: День ракетных
16.12.1900: День независимости Казахстана|День памяти
17.12.1900: День ракетных войск стратегического назначения|День памяти
18.12.1900: День работников ЗАГСа|День памяти
19.12.1900: День снабженца|День памяти
20.12.1900: День работника органов безопасности|День памяти
21.12.1900: День рождения караоке|День памяти
22.12.1900: День энергетика|День памяти
23.12.1900: День дальней авиации ВВС России|День памяти
24.12.1900: День взятия Измаила|День памяти
25.12.1900: Католическое Рождество|День памяти
26.12.1900: День подарков|День памяти
27.12.1900: День спасателя|День памяти
28.12.1900: Международный день кино|День памяти
29.12.1900: День службы профессионально-психологического отбора|День памяти
30.12.1900: День заворачивания подарков|День памяти
31.12.1900: Канун Нового года|День памяти
